Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
24,-9.999999999887876e-05,-1.8829382497642655e-13,-1.0658141036401503e-14,0.0,0.0,0.0,-28.429200000000098,-52.770899999999955,-9.999999999088516e-05,-6.252776074688882e-13,67.28709999999997,-32.13260000000005,46.80370000000005,-81.20030000000071,81.95819999999996,0.7578999999999212
25,3.552713678800501e-15,-1.2079226507921703e-13,0.0,0.0,0.0,0.0,-29.65789999999999,-34.62780000000066,5.5067062021407764e-14,2.8421709430404007e-13,60.904000000000096,-33.8478,49.673799999999936,-64.28570000000133,76.73000000000003,12.444299999998691
26,-2.3092638912203256e-14,2.4868995751603507e-14,-9.237055564881302e-14,0.0,0.0,0.0,-29.228200000000026,-44.0841000000006,1.7763568394002505e-14,0.00010000000003174137,66.29560000000008,-34.93919999999997,45.94010000000005,-73.31219999999976,77.29650000000015,3.984300000000843
27,7.105427357601002e-15,3.552713678800501e-14,9.999999992160724e-05,0.0,0.0,0.0,-28.00439999999993,-40.26920000000014,0.00010000000002463594,-1.7053025658242404e-13,61.955999999999904,-34.22569999999988,50.23719999999992,-68.27340000000066,77.96749999999994,9.694099999999509
28,9.999999999976694e-05,1.1013412404281553e-13,9.592326932761353e-14,0.0,0.0,0.0,-33.31149999999994,-29.83579999999985,-2.1316282072803006e-14,2.8421709430404007e-13,63.61850000000005,-34.68400000000008,49.675899999999935,-63.14719999999906,78.61039999999979,15.463200000000484
29,-2.4868995751603507e-14,-4.973799150320701e-14,-4.618527782440651e-14,0.0,0.0,0.0,-33.430900000000065,-43.83649999999956,-1.5987211554602254e-14,-2.8421709430404007e-13,74.86290000000017,-37.783699999999875,51.43589999999999,-77.26740000000032,88.51510000000039,11.247700000000293
30,-7.993605777301127e-15,-9.999999991805453e-05,3.197442310920451e-14,0.0,0.0,0.0,-32.92530000000003,-36.203199999999256,-1.7763568394002505e-14,-6.252776074688882e-13,57.49140000000014,-33.431999999999945,47.22899999999998,-69.12860000000012,71.28840000000017,2.159800000000047
31,0.0,2.2382096176443156e-13,0.0001000000000139778,0.0,0.0,0.0,-38.54980000000013,-24.036699999998987,-0.00010000000003529408,-9.999999974752427e-05,49.99400000000011,-33.32790000000006,49.82289999999998,-62.5865999999977,66.4889999999998,3.902400000002558
32,2.3092638912203256e-14,3.907985046680551e-14,6.039613253960852e-14,0.0,0.0,0.0,-29.401300000000017,-41.698100000001645,9.999999999799059e-05,3.979039320256561e-13,64.09920000000004,-35.45900000000011,46.78280000000003,-71.09930000000028,75.42299999999996,4.323700000000571
33,-4.618527782440651e-14,-9.999999992160724e-05,-9.999999991805453e-05,0.0,0.0,0.0,-31.812800000000003,-38.87150000000075,-1.0658141036401503e-14,-1.7053025658242404e-13,67.45719999999997,-32.60979999999981,46.518900000000066,-70.68450000000053,81.3663,10.68179999999947
34,4.440892098500626e-14,3.552713678800501e-15,-1.0302869668521453e-13,0.0,0.0,0.0,-34.4128,-35.20370000000011,9.999999997134523e-05,3.410605131648481e-13,67.30670000000012,-36.158199999999916,49.028100000000045,-69.61640000000048,80.17660000000038,10.560199999999668
35,1.9539925233402755e-14,-9.999999998200337e-05,4.973799150320701e-14,0.0,0.0,0.0,-26.294800000000013,-57.15520000000082,-3.019806626980426e-14,5.684341886080802e-14,79.95479999999989,-36.53619999999999,49.427699999999966,-83.45010000000107,92.84629999999987,9.396199999998572
36,0.0,-1.4210854715202004e-14,-1.7763568394002505e-14,0.0,0.0,0.0,-34.716399999999965,-33.97599999999824,-0.00010000000002996501,1.1368683772161603e-13,55.41310000000008,-32.97359999999989,47.3456,-68.69249999999872,69.7851000000003,1.092600000001795
37,-0.00010000000004950493,-3.552713678800501e-14,-8.171241461241152e-14,0.0,0.0,0.0,-24.93830000000001,-51.564000000000775,-9.99999999766743e-05,9.999999929277692e-05,74.11399999999995,-35.37379999999995,50.157700000000055,-76.50240000000085,88.89790000000028,12.39549999999943
38,5.329070518200751e-15,0.00010000000009924292,0.00010000000001753051,0.0,0.0,0.0,-36.526999999999944,-37.92780000000087,3.552713678800501e-15,-1.7053025658242404e-13,77.63019999999989,-34.82580000000004,50.33759999999997,-74.45460000000077,93.14199999999994,18.687399999999172
39,-9.999999996779252e-05,6.394884621840902e-14,-1.7763568394002505e-14,0.0,0.0,0.0,-34.33369999999999,-45.518099999999095,-0.0001000000000139778,6.821210263296962e-13,74.95460000000013,-34.580099999999916,48.68379999999995,-79.85199999999878,89.05830000000005,9.206300000001704
40,1.5987211554602254e-14,1.2079226507921703e-13,0.0,0.0,0.0,0.0,-30.404800000000005,-52.20220000000012,0.00010000000001930687,-4.547473508864641e-13,75.52680000000007,-34.43840000000005,49.36119999999996,-82.60689999999965,90.44960000000009,7.8427000000006615
41,2.842170943040401e-14,7.815970093361102e-14,-5.684341886080802e-14,0.0,0.0,0.0,-26.046100000000006,-38.76580000000003,0.00010000000000864873,-3.979039320256561e-13,59.245699999999864,-30.029900000000104,45.737,-64.81179999999952,74.95279999999977,10.141000000000219
42,2.1316282072803006e-14,-5.3290705182007514e-14,-9.999999992160724e-05,0.0,0.0,0.0,-24.244100000000063,-42.63690000000017,4.085620730620576e-14,-0.00010000000025911504,60.198300000000046,-32.00019999999989,46.98270000000005,-66.88120000000006,75.18080000000009,8.299599999999344
43,9.999999999266151e-05,9.592326932761353e-14,-3.907985046680551e-14,0.0,0.0,0.0,-26.14840000000004,-35.14090000000017,-0.0001000000000015433,9.999999963383743e-05,59.390599999999964,-30.47409999999995,44.93209999999997,-61.28919999999974,73.84859999999999,12.559400000000267
44,1.0658141036401503e-14,-1.0658141036401503e-13,7.105427357601002e-15,0.0,0.0,0.0,-25.02239999999993,-40.77689999999856,3.730349362740526e-14,0.00010000000048648872,64.63299999999998,-33.19560000000002,45.775900000000085,-65.79919999999797,77.21329999999993,11.414100000002435
45,-0.00010000000000776055,-5.684341886080802e-14,7.815970093361102e-14,0.0,0.0,0.0,-32.02170000000001,-43.41020000000145,2.1316282072803006e-14,1.1368683772161603e-13,70.06060000000005,-32.77039999999996,47.06789999999994,-75.43200000000255,84.35810000000002,8.926099999998144
46,9.999999997489795e-05,1.4210854715202004e-14,-7.105427357601002e-14,0.0,0.0,0.0,-30.722299999999958,-52.0788999999984,0.00010000000001220144,-0.0001000000004296453,86.64099999999996,-31.348199999999984,45.600999999999985,-82.80109999999925,100.89379999999996,18.092700000001173
47,7.105427357601002e-15,-0.00010000000000687237,-4.263256414560601e-14,0.0,0.0,0.0,-28.28320000000003,-65.0107000000004,-0.0001000000000423995,-1.7053025658242404e-13,83.88050000000007,-33.93270000000012,46.54630000000003,-93.2941000000005,96.49409999999986,3.2000000000000455
48,2.7533531010703882e-14,2.1316282072803006e-14,3.552713678800501e-15,0.0,0.0,0.0,-30.851400000000048,-43.20800000000098,4.085620730620576e-14,3.979039320256561e-13,79.42510000000013,-34.54699999999999,49.30910000000003,-74.059400000001,94.18720000000005,20.12779999999927
49,9.999999998555609e-05,-5.684341886080802e-14,-1.7763568394002505e-14,0.0,0.0,0.0,-24.19719999999996,-35.2257000000002,-3.552713678800501e-15,5.684341886080802e-14,54.962900000000104,-33.17200000000004,47.00339999999999,-59.422800000000194,68.79430000000006,9.371499999999628
50,1.4210854715202004e-14,1.1368683772161603e-13,-0.00010000000001753051,0.0,0.0,0.0,-27.69920000000006,-45.14570000000003,-2.3092638912203256e-14,5.115907697472721e-13,63.64529999999997,-32.42550000000002,47.388799999999925,-72.84499999999915,78.60860000000011,5.763600000000935
51,-1.3322676295501878e-14,1.4921397450962104e-13,-6.750155989720952e-14,0.0,0.0,0.0,-32.07899999999999,-35.74810000000096,4.085620730620576e-14,-3.410605131648481e-13,74.82639999999994,-34.81159999999997,47.294799999999945,-67.8271,87.30960000000002,19.48250000000027
52,1.9539925233402755e-14,-9.999999990384367e-05,8.171241461241152e-14,0.0,0.0,0.0,-26.745300000000064,-38.680300000001424,-1.9539925233402755e-14,1.7053025658242404e-13,59.903799999999954,-33.242900000000006,46.781799999999954,-65.42570000000131,73.44270000000002,8.01699999999849
53,-9.999999999088516e-05,7.460698725481052e-14,3.197442310920451e-14,0.0,0.0,0.0,-26.35500000000001,-43.205499999998906,9.999999998733244e-05,1.1368683772161603e-13,68.74770000000002,-35.104399999999934,48.144099999999966,-69.56049999999968,81.78740000000005,12.226900000000171
