,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
22,357.3334,1054.3937,1685.6217,0.0,0.0,0.0,-958.9784,-9073.4276,472.5804,5400.9344,-1659.0157,1090.4191,-670.4077,-1061.5424000000012,-1239.0042999999996,-2300.546700000001
23,369.1994,1052.7776,1699.381,0.0,0.0,0.0,-954.2638,-9050.205,475.4405,5402.7092,-1749.0748,1104.5847,-685.0541,-1004.9610999999996,-1329.5441999999996,-2334.5053
24,427.6158,1007.1087,1697.6733,0.0,0.0,0.0,-962.4038,-9013.0389,478.9864,5367.4648,-1712.1502,1096.2025,-678.7297,-996.5937000000004,-1294.6774,-2291.2711000000004
25,388.3467,1025.7624,1681.6551,0.0,0.0,0.0,-970.9805,-9031.5404,468.5551,5408.8704,-1731.9066,1093.136,-677.4879,-1029.3312000000003,-1316.2585,-2345.589700000001
26,409.5654,990.0742,1708.2922,0.0,0.0,0.0,-953.1084,-8977.0721,482.7808,5430.7073,-1810.9318,1102.9262,-682.9315,-908.7605999999997,-1390.9371,-2299.6977
27,403.9017,1015.0989999999999,1694.2684,0.0,0.0,0.0,-961.7053,-8992.0597,471.5688,5357.8621,-1764.3755,1085.1697,-670.6136,-1011.0649999999997,-1349.8194000000005,-2360.8844
28,346.0407,1000.1024,1686.3429999999998,0.0,0.0,0.0,-949.6159,-8930.8506,473.7876,5406.9889,-1796.7974,1092.1343,-679.0319999999999,-967.2038999999997,-1383.6951,-2350.8989999999994
29,357.7155,977.8508,1686.0970000000002,0.0,0.0,0.0,-980.363,-9144.0454,485.904,5422.6829,-1638.2977,1085.4295,-671.0128,-1194.1582000000014,-1223.881,-2418.039200000002
30,391.2922,986.6597,1660.8067,0.0,0.0,0.0,-955.3544,-9045.4418,489.4332,5384.359,-1598.4462,1078.4791,-665.2186,-1088.2453999999998,-1185.1857,-2273.4311
31,370.7684,1066.3885,1699.5034,0.0,0.0,0.0,-964.5708,-9108.7351,466.719,5376.5936,-1638.5899,1083.6435,-662.3610000000001,-1093.3329999999996,-1217.3074,-2310.6404
32,377.3702,1023.3425,1687.0863,0.0,0.0,0.0,-948.8081,-9072.3375,481.4925,5361.7941,-1673.7785,1085.4389999999999,-669.8901,-1090.0599999999997,-1258.2295999999994,-2348.289599999999
33,399.4807,970.993,1681.0367,0.0,0.0,0.0,-944.9417,-9017.4696,473.5918,5395.3255,-1699.1408,1089.0536,-673.8921,-1041.9836000000003,-1283.9793,-2325.9629000000004
34,395.0193,993.2053,1667.7676,0.0,0.0,0.0,-972.0918,-8949.5204,496.5119,5392.2452,-1753.8727,1087.6125,-675.1987,-976.8628999999993,-1341.4589,-2318.3217999999993
35,424.8951,1059.5051,1704.2726,0.0,0.0,0.0,-976.1633,-8943.735999999999,479.462,5355.8648,-1721.2231,1072.5397,-657.921,-895.8997000000007,-1306.6044,-2202.504100000001
36,381.7723,998.9387,1680.0929,0.0,0.0,0.0,-940.6122,-8888.353000000001,474.5929,5407.9151,-1879.671,1092.3044,-673.1276,-885.6533,-1460.4942,-2346.1475
37,388.6319,1003.7467,1694.8371,0.0,0.0,0.0,-930.3416,-9032.413,479.5711,5430.9853,-1838.7089999999998,1102.6947,-673.7397,-964.9825,-1409.754,-2374.7365
38,368.4747,1014.7127,1707.4221,0.0,0.0,0.0,-1008.4575,-8972.6181,467.3946,5412.3002,-1734.1018,1069.0243,-646.2237,-1010.7713000000003,-1311.3012,-2322.0725
39,383.9713,1034.3989,1678.9989,0.0,0.0,0.0,-938.5859,-9054.0657,486.467,5421.6006,-1781.7109,1087.5747,-668.2809,-987.2149,-1362.4171,-2349.632
40,390.2514,984.4232,1673.957,0.0,0.0,0.0,-964.9776,-8952.4455,482.6126,5437.9539,-1835.5561,1082.6985,-659.953,-948.2249999999997,-1412.8106,-2361.0355999999992
41,383.8519,1053.9072,1697.0477,0.0,0.0,0.0,-976.0981,-8976.1494,467.715,5420.3252,-1857.2194,1087.4235,-659.2327,-929.4004999999997,-1429.0286,-2358.4290999999994
42,378.5742,1002.7378,1705.6463,0.0,0.0,0.0,-979.5142,-8950.6194,473.3734,5397.468000000001,-1773.9023,1076.9387,-649.8149,-972.3338999999988,-1346.7785,-2319.1123999999986
43,387.2143,1027.7045,1696.7386,0.0,0.0,0.0,-1002.8387,-8983.2077,474.5302,5421.6949,-1703.4932,1077.9121,-653.5217,-978.1639000000004,-1279.1028,-2257.2667
44,386.9879,1011.8318,1673.8383,0.0,0.0,0.0,-965.4604,-9004.7153,479.19199999999995,5426.9385,-1741.9982,1082.741,-659.9421,-991.3872,-1319.1993,-2310.586500000001
45,368.7259,1043.4729,1692.6203,0.0,0.0,0.0,-990.7084,-8866.9693,465.45099999999996,5409.1638,-1880.4114,1096.0655,-668.3688,-878.2438000000003,-1452.7147,-2330.9585
46,356.4004,998.0160000000001,1703.9381,0.0,0.0,0.0,-962.2076,-9000.2308,476.6361,5455.4899,-1792.7644,1090.6365,-664.6233,-971.9578999999994,-1366.7512,-2338.709099999999
47,411.7916,1036.2998,1706.1979,0.0,0.0,0.0,-951.1666,-8889.8406,475.9455,5439.6465,-1900.5223,1092.1012,-670.5021,-771.1259,-1478.9232000000004,-2250.0491
48,397.6465,1019.49,1696.6763,0.0,0.0,0.0,-969.7623,-8913.0346,480.7636,5410.2207,-1824.7702,1082.3441,-672.5956,-877.9998000000005,-1415.0216999999998,-2293.0215000000007
49,393.2945,982.9996,1701.4113,0.0,0.0,0.0,-956.7327,-9021.4892,500.5929,5485.0454,-1804.3689,1084.9807,-674.9511,-914.8782,-1394.3393,-2309.2175
50,391.5135,1041.8831,1690.5427,0.0,0.0,0.0,-975.1348,-8896.8057,467.50800000000004,5371.5522,-1816.9874,1098.7162,-677.3155,-908.9410000000007,-1395.5866999999996,-2304.527700000001
51,375.889,998.9261,1722.3103,0.0,0.0,0.0,-961.4243,-9011.2738,468.7428,5375.647,-1771.1484,1098.8013,-678.9681,-1031.1829000000007,-1351.3152,-2382.4981000000007
52,361.9981,1034.9618,1690.4508,0.0,0.0,0.0,-956.2002,-9006.4815,474.7278,5439.2117,-1791.3211,1084.7491,-667.3186,-961.3315000000003,-1373.8905999999995,-2335.2221000000004
53,365.5095,1004.6403,1676.5839999999998,0.0,0.0,0.0,-962.4385,-8949.7406,475.6375,5417.8984,-1814.4961,1098.6643,-678.8236,-971.9093999999997,-1394.6554,-2366.5648
54,382.0428,998.7166,1708.5694,0.0,0.0,0.0,-948.7207,-9002.1351,473.0424,5416.5623,-1770.4213,1101.9056,-683.5558,-971.9222999999993,-1352.0715,-2323.9937999999993
55,386.9825,1035.5099,1691.734,0.0,0.0,0.0,-956.3648,-8918.8893,477.9468,5396.8616,-1836.3516,1092.9376,-672.7226,-886.2193000000008,-1416.1366,-2302.3559000000005
56,408.5985,1056.9703,1690.1175,0.0,0.0,0.0,-954.7738,-8885.4525,458.9316,5388.4618,-1819.4843,1094.4826,-667.972,-837.1465999999991,-1392.9737,-2230.120299999999
57,386.9342,1070.9182,1717.9477,0.0,0.0,0.0,-980.1485,-8838.7158,475.6666,5357.9057,-1870.6347,1094.6338,-668.0406,-809.4919,-1444.0415,-2253.5334000000007
58,390.8384,957.4596,1701.7706,0.0,0.0,0.0,-973.0811,-8829.2599,478.2339,5417.5807,-1900.037,1086.5919,-662.1358,-856.4577999999983,-1475.5809000000004,-2332.038699999999
59,368.2149,1042.3232,1687.2146,0.0,0.0,0.0,-967.3877,-8788.7023,487.4248,5410.6113,-1926.4979999999998,1090.0033,-671.7539999999999,-760.3012000000017,-1508.2487,-2268.5499000000023
60,385.6849,1025.5502,1710.1824,0.0,0.0,0.0,-972.4485,-8909.444,474.0492,5421.3059,-1817.4744,1090.5703,-675.2162,-865.1198999999997,-1402.1203,-2267.2402
