Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
76,1.7763568394002505e-15,-1.687538997430238e-14,-1.2434497875801753e-14,0.0,0.0,0.0,-25.56129999999992,-28.166799999999835,-0.00010000000003351772,7.673861546209082e-13,31.388200000000154,-20.63649999999996,31.367199999999944,-53.7281999999978,42.11890000000014,-11.609299999997432
77,-2.1316282072803006e-14,1.0658141036401503e-14,0.00010000000015963906,0.0,0.0,0.0,-18.6609,-22.919099999999716,-7.105427357601002e-15,-8.100187187665142e-13,31.7627999999998,-19.644399999999944,27.23999999999999,-41.57990000000135,39.35839999999985,-2.221500000001953
78,-9.999999997001296e-05,2.1316282072803006e-14,1.758593271006248e-13,0.0,0.0,0.0,-20.402299999999986,-20.572499999999177,3.4638958368304884e-14,4.689582056016661e-13,31.825599999999774,-19.979800000000125,29.733899999999974,-40.97489999999798,41.57969999999951,0.6048000000017595
79,-9.999999999266151e-05,-1.6697754290362354e-13,-8.881784197001252e-15,0.0,0.0,0.0,-21.288499999999996,-25.12289999999981,-1.9539925233402755e-14,-9.999999993226538e-05,33.88690000000004,-19.445899999999842,29.331399999999974,-46.41159999999958,43.77240000000017,-2.6391999999998603
80,4.3520742565306136e-14,-2.0605739337042905e-13,4.3520742565306136e-14,0.0,0.0,0.0,-20.648299999999917,-24.82690000000023,3.907985046680551e-14,-2.7000623958883807e-13,33.130799999999994,-19.43180000000011,29.54689999999993,-45.47519999999959,43.2458999999997,-2.2292999999994265
81,-0.00010000000003751452,-0.00010000000022181155,1.8207657603852567e-13,0.0,0.0,0.0,-24.493900000000004,-25.14820000000067,-4.440892098500626e-14,-9.999999944909632e-05,33.36859999999986,-19.994,32.03230000000003,-49.642399999999505,45.406899999999666,-4.2354999999993765
82,4.1744385725905886e-14,-0.00010000000005128129,-3.197442310920451e-14,0.0,0.0,0.0,-22.353599999999975,-21.187500000000608,0.0,1.8474111129762605e-13,30.865200000000108,-20.631899999999995,30.634100000000018,-43.54119999999931,40.86740000000013,-2.6737999999991757
83,-0.00010000000000065512,-1.7763568394002505e-14,-5.417888360170764e-14,0.0,0.0,0.0,-23.926299999999998,-27.848400000000744,-2.042810365310288e-14,4.689582056016661e-13,36.39500000000007,-19.630200000000116,30.120599999999964,-51.77480000000094,46.885400000000025,-4.889400000000677
84,4.973799150320701e-14,-0.00010000000003884679,8.526512829121202e-14,0.0,0.0,0.0,-22.428799999999903,-9.67249999999946,3.019806626980426e-14,2.1316282072803006e-13,31.59089999999989,-20.206600000000076,30.779599999999977,-32.10139999999948,42.16389999999979,10.062500000000085
85,1.3322676295501878e-15,2.398081733190338e-14,-1.794120407794253e-13,0.0,0.0,0.0,-19.829300000000032,-28.172600000000593,1.0658141036401503e-14,-1.8474111129762605e-13,36.45730000000012,-20.650799999999897,29.544699999999967,-48.00190000000096,45.35120000000019,-2.6507000000012226
