,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
38,380.0401,982.1993,1703.9244,0.0,0.0,0.0,-987.0601,-9253.3797,479.9932,5412.39,-1456.3245,1047.6201,-639.6207,-1281.8927999999996,-1048.3251,-2330.217899999999
39,405.6926,1016.684,1690.0245,0.0,0.0,0.0,-996.9241,-9118.1793,486.4099,5352.6587,-1581.3211,1052.9688,-644.2311,-1163.6337000000005,-1172.5833999999998,-2336.2171000000008
40,400.4415,984.0343,1703.4749,0.0,0.0,0.0,-990.3165,-9074.4018,477.4995,5425.3157,-1680.5773,1056.5739999999998,-643.1153,-1073.9523999999992,-1267.1185999999998,-2341.070999999999
41,407.2634,1038.9658,1676.0427,0.0,0.0,0.0,-952.8278,-9011.1132,470.9465,5371.0928,-1691.4427,1072.1334,-657.2156,-999.6297999999997,-1276.5249,-2276.1547
42,371.6891,1002.1611,1698.4206,0.0,0.0,0.0,-956.1577,-9128.8631,474.1656,5396.4709,-1648.6708,1074.3589,-656.5802,-1142.1134999999995,-1230.8921,-2373.0055999999995
43,374.4347,1066.4481,1659.6535,0.0,0.0,0.0,-948.8293,-9023.2706,481.9387,5388.7562,-1698.2436,1064.7482,-654.3716,-1000.8687,-1287.867,-2288.7357
44,403.0652,1034.6075,1691.3517,0.0,0.0,0.0,-985.074,-9058.8076,477.7818,5366.6329,-1579.1951,1057.0228,-645.9976,-1070.442500000001,-1168.1699,-2238.612400000001
45,399.7316,1025.0555,1668.7298,0.0,0.0,0.0,-950.5668,-9152.2321,481.5122,5362.2183,-1534.9834,1073.2721,-658.1459,-1165.5514999999987,-1119.8572,-2285.408699999999
46,382.8815,1052.3853,1687.6979999999999,0.0,0.0,0.0,-967.6099,-9143.2362,480.5786,5389.7355,-1600.8374,1060.4343,-650.0114,-1117.5671999999997,-1190.4145,-2307.9816999999994
47,418.5609,1067.1975,1681.9227,0.0,0.0,0.0,-993.1065,-9075.4342,479.2717,5354.7464,-1544.5257,1059.7255,-651.5294,-1066.8414999999998,-1136.3296,-2203.1711
48,414.1341,1042.6338,1677.8493,0.0,0.0,0.0,-967.8619,-9156.8604,476.7594,5381.2647,-1571.0637,1068.4951,-659.1413,-1132.0809999999992,-1161.7098999999996,-2293.790899999999
49,367.8894,982.5919,1703.1974,0.0,0.0,0.0,-986.9306,-9157.7056,457.0444,5417.3733,-1540.2626,1057.6276,-652.8265,-1216.5397999999996,-1135.4615,-2352.0012999999994
