,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
16,9.999999998200336e-05,9.237055564881302e-14,9.592326932761353e-14,0.0,0.0,0.0,-38.90409999999998,-34.59860000000066,7.105427357601002e-15,-1.7053025658242404e-13,44.424700000000065,-34.66510000000002,55.0602,-73.50260000000007,64.81980000000004,-8.682800000000924
17,9.769962616701378e-15,7.283063041541028e-14,-9.999999989673825e-05,0.0,0.0,0.0,-35.56049999999993,-43.82079999999832,-3.5527136788005016e-14,2.273736754432321e-13,52.88319999999999,-35.232100000000116,54.85839999999998,-79.38139999999984,72.50949999999985,-6.87190000000021
18,1.2434497875801752e-14,-1.1013412404281553e-13,0.00010000000015253364,0.0,0.0,0.0,-44.955399999999926,-38.73439999999994,-3.1974423109204515e-14,4.547473508864641e-13,44.531200000000155,-35.751900000000056,55.27459999999999,-83.68969999999919,64.05390000000007,-19.635799999999108
19,1.7763568394002505e-15,1.3855583347321954e-13,9.999999998200336e-05,0.0,0.0,0.0,-42.013700000000014,-47.95939999999965,3.552713678800501e-15,2.273736754432321e-13,52.30699999999993,-35.2037000000001,54.40129999999997,-89.97300000000145,71.5045999999998,-18.468400000001225
20,-7.105427357601002e-15,-3.907985046680551e-14,-1.4210854715202006e-13,0.0,0.0,0.0,-38.74630000000001,-48.196800000000046,0.00010000000001042508,-3.410605131648481e-13,44.96600000000011,-35.43999999999978,54.05470000000007,-86.94300000000183,63.580700000000384,-23.36230000000145
21,-1.0658141036401504e-14,4.263256414560601e-14,9.999999985765841e-05,0.0,0.0,0.0,-34.143400000000035,-47.19419999999943,-2.131628207280301e-14,-2.842170943040401e-13,52.13010000000003,-35.37849999999999,54.08410000000002,-81.33749999999806,70.83570000000005,-10.501799999997132
22,-0.00010000000000864871,9.999999984344754e-05,-9.999999995713438e-05,0.0,0.0,0.0,-41.59200000000001,-38.44190000000023,-1.4210854715202004e-14,-0.00010000000020227162,46.024899999999846,-35.317200000000064,53.9765,-80.03410000000049,64.68419999999978,-15.34990000000073
23,3.552713678800501e-15,9.237055564881302e-14,1.0658141036401504e-14,0.0,0.0,0.0,-33.28100000000007,-58.779600000000364,0.0,0.0,55.74809999999986,-35.600699999999975,53.33819999999994,-92.06060000000208,73.48559999999992,-18.57500000000169
24,-1.0658141036401504e-14,9.999999995002895e-05,8.171241461241153e-14,0.0,0.0,0.0,-37.888399999999976,-46.9215000000016,-9.999999998200336e-05,-1.7053025658242404e-13,53.97530000000007,-34.896599999999985,55.40550000000001,-84.80990000000176,74.4842000000001,-10.325700000003023
25,2.6645352591003757e-14,-1.4921397450962106e-13,-9.99999999393708e-05,0.0,0.0,0.0,-40.83769999999993,-35.94510000000014,-1.7763568394002505e-15,-9.999999991805451e-05,50.03749999999989,-34.58480000000017,55.64200000000003,-76.78299999999959,71.09469999999963,-5.6883000000004245
