,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
10,1.2434497875801752e-14,0.00010000000009924292,0.00010000000000331967,0.0,0.0,0.0,-38.98730000000001,-53.61079999999919,-1.9539925233402755e-14,9.99999995201506e-05,58.566300000000105,-39.153900000000135,61.388500000000064,-92.59779999999948,80.8009000000005,-11.79689999999988
11,1.4210854715202004e-14,-0.0001000000000423995,-1.77635683940025e-14,0.0,0.0,0.0,-44.522800000000046,-39.476000000001314,-2.8421709430404014e-14,-3.410605131648481e-13,52.78229999999938,-38.62000000000007,63.09269999999995,-83.99890000000019,77.25500000000005,-6.743899999999229
12,9.999999998733243e-05,2.131628207280301e-14,6.039613253960853e-14,0.0,0.0,0.0,-52.02030000000003,-27.775999999999062,7.105427357601002e-15,-1.1368683772161605e-13,51.427999999999905,-38.96479999999999,62.0242999999999,-79.79619999999868,74.48750000000015,-5.308699999999448
13,-2.0428103653102883e-14,-9.999999995358166e-05,-1.7408297026122455e-13,0.0,0.0,0.0,-46.36600000000002,-42.6470000000004,7.105427357601002e-15,2.842170943040401e-13,55.86160000000058,-38.5773999999999,63.63759999999998,-89.01310000000069,80.92180000000089,-8.09129999999891
14,1.0658141036401504e-14,9.999999992515995e-05,7.460698725481053e-14,0.0,0.0,0.0,-46.0984,-45.183300000000045,-3.552713678800501e-15,0.0,56.50949999999953,-39.15849999999994,63.25959999999996,-91.28159999999815,80.61059999999942,-10.670999999995104
15,1.0658141036401504e-14,2.131628207280301e-14,-1.0658141036401504e-14,0.0,0.0,0.0,-41.12370000000009,-53.39239999999954,-1.0658141036401504e-14,-2.273736754432321e-13,58.233200000000274,-39.2814999999999,61.224800000000066,-94.51609999999891,80.17650000000067,-14.339599999998255
16,9.999999998555607e-05,1.0658141036401504e-14,9.947598300641404e-14,0.0,0.0,0.0,-47.69959999999993,-42.2972000000001,-1.4210854715202004e-14,5.684341886080803e-14,53.324900000000035,-39.569599999999966,62.1098,-89.99669999999998,75.86510000000007,-14.131600000000816
17,1.5987211554602254e-14,-2.8421709430404014e-14,-4.973799150320702e-14,0.0,0.0,0.0,-43.048699999999954,-50.859099999999984,0.0,-8.526512829121202e-13,64.28370000000052,-37.90649999999999,64.3381,-93.90780000000171,90.71530000000077,-3.1925000000000523
18,-3.907985046680551e-14,4.973799150320702e-14,-4.618527782440651e-14,0.0,0.0,0.0,-46.73390000000003,-42.62050000000143,4.973799150320702e-14,-3.9790393202565615e-13,56.88490000000011,-38.161599999999865,63.98000000000007,-89.35440000000257,82.7033000000003,-6.651100000003197
19,2.3092638912203256e-14,3.5527136788005016e-14,-8.526512829121202e-14,0.0,0.0,0.0,-48.424500000000094,-45.38609999999972,-1.0658141036401504e-14,5.6843418860808e-13,58.167900000000046,-39.68769999999993,62.0034,-93.81059999999869,80.48360000000012,-13.326999999998549
20,1.7763568394002505e-15,-5.684341886080803e-14,-7.460698725481053e-14,0.0,0.0,0.0,-48.25660000000003,-46.37059999999981,1.0658141036401504e-14,2.273736754432321e-13,53.69819999999947,-39.3712,61.85460000000007,-94.62719999999979,76.18159999999929,-18.44560000000047
21,2.486899575160351e-14,1.1368683772161605e-13,-1.7053025658242404e-13,0.0,0.0,0.0,-38.912200000000055,-42.86759999999987,0.00010000000002463594,5.6843418860808e-13,55.56250000000055,-37.79780000000014,62.39619999999997,-81.77969999999856,80.16089999999969,-1.6187999999970657
22,-1.0658141036401504e-14,-1.4921397450962106e-13,-1.172395514004165e-13,0.0,0.0,0.0,-46.011100000000006,-56.670000000000705,-3.1974423109204515e-14,0.0,56.406600000000594,-40.344600000000035,62.28039999999997,-102.68110000000091,78.34240000000088,-24.338700000000014
23,1.77635683940025e-14,2.131628207280301e-14,-4.618527782440651e-14,0.0,0.0,0.0,-48.97580000000001,-47.93760000000037,9.999999996423979e-05,-5.6843418860808e-13,56.937499999999474,-39.24839999999999,62.3118,-96.9133000000021,80.00089999999871,-16.912400000002492
24,-9.999999995358166e-05,2.1316282072803006e-13,-9.999999998555607e-05,0.0,0.0,0.0,-50.85630000000002,-51.60020000000054,0.0001000000000264123,-7.958078640513123e-13,61.87140000000004,-39.687700000000156,61.84220000000007,-102.45659999999992,84.0258999999988,-18.43069999999929
25,0.00010000000001131326,0.00010000000002818864,-9.999999992871268e-05,0.0,0.0,0.0,-48.41090000000007,-45.865599999999525,-3.5527136788005016e-14,2.273736754432321e-13,58.00469999999966,-38.82779999999981,61.1056,-94.27639999999758,80.28249999999996,-13.993899999999455
26,-9.999999997667429e-05,-5.3290705182007514e-14,-9.99999998825274e-05,0.0,0.0,0.0,-42.57709999999997,-56.10069999999978,0.00010000000001930688,-1.7053025658242404e-13,57.780099999999884,-39.89089999999994,61.078200000000066,-98.67789999999907,78.96739999999944,-19.710500000000508
27,-4.707345624410664e-14,-1.5276668818842154e-13,1.77635683940025e-14,0.0,0.0,0.0,-42.99050000000002,-55.18280000000111,1.0658141036401504e-14,-0.00010000000008858478,58.78570000000001,-39.03580000000019,60.74820000000001,-98.17340000000223,80.49810000000015,-17.675300000001126
28,0.0001000000000015433,3.907985046680551e-14,9.947598300641404e-14,0.0,0.0,0.0,-49.664599999999936,-41.6030999999999,-2.486899575160351e-14,5.684341886080803e-14,54.26569999999993,-38.832600000000035,63.899900000000045,-91.26759999999821,79.33300000000122,-11.934599999997005
29,1.5987211554602254e-14,3.5527136788005016e-14,-7.105427357601003e-14,0.0,0.0,0.0,-49.7897,-52.367700000000546,-1.0658141036401504e-14,-0.00010000000020227162,67.95849999999929,-38.95070000000001,63.944999999999936,-102.15750000000271,92.95279999999944,-9.20470000000688
30,-1.77635683940025e-14,-1.5276668818842154e-13,-1.172395514004165e-13,0.0,0.0,0.0,-47.095399999999984,-47.35259999999903,-9.999999998555607e-05,7.958078640513123e-13,58.474599999999896,-39.14439999999983,62.84450000000001,-94.44809999999794,82.1746999999994,-12.273399999996712
31,-8.88178419700125e-15,-9.999999995358166e-05,1.4921397450962106e-13,0.0,0.0,0.0,-43.15539999999999,-47.08250000000097,-1.77635683940025e-14,-6.821210263296962e-13,57.29399999999981,-38.964800000000025,62.28760000000001,-90.23800000000332,80.61679999999947,-9.621200000002034
32,3.0198066269804264e-14,-0.00010000000001042508,-1.3145040611561853e-13,0.0,0.0,0.0,-42.32080000000001,-51.30799999999933,-9.999999999266153e-05,1.7053025658242404e-13,69.73789999999994,-37.8639,61.7104,-93.6289999999985,93.58440000000058,-0.04459999999969
33,1.2434497875801752e-14,-1.4921397450962106e-13,-2.0605739337042905e-13,0.0,0.0,0.0,-44.08590000000001,-45.22690000000066,-0.00010000000002108321,0.0,53.51250000000012,-38.440399999999954,63.003799999999984,-89.31290000000195,78.07589999999945,-11.237000000000675
34,-1.7763568394002505e-15,-1.5631940186722204e-13,1.0658141036401504e-14,0.0,0.0,0.0,-48.03519999999999,-51.40080000000077,2.486899575160351e-14,-2.842170943040401e-13,68.61740000000026,-38.73329999999998,62.812399999999954,-99.43600000000114,92.69649999999956,-6.739500000000702
35,1.4210854715202004e-14,-9.999999995358166e-05,8.881784197001252e-14,0.0,0.0,0.0,-44.562900000000056,-52.8285999999985,-3.552713678800501e-15,-5.684341886080803e-14,55.140000000000036,-38.94599999999994,63.52190000000003,-97.39159999999949,79.71590000000012,-17.675700000001143
36,0.0,-6.039613253960853e-14,-6.039613253960853e-14,0.0,0.0,0.0,-44.297700000000056,-43.26610000000099,-2.131628207280301e-14,0.00010000000003174135,49.34180000000024,-39.347700000000074,61.16869999999999,-87.56370000000099,71.16280000000059,-16.400900000002196
37,1.9539925233402755e-14,5.3290705182007514e-14,-8.881784197001252e-14,0.0,0.0,0.0,-46.3291,-44.23169999999963,1.0658141036401504e-14,1.7053025658242404e-13,53.85809999999998,-39.583900000000064,61.95809999999997,-90.56079999999795,76.23230000000024,-14.328499999997716
38,2.486899575160351e-14,-7.105427357601002e-15,-2.1316282072803006e-13,0.0,0.0,0.0,-38.03099999999998,-49.76040000000019,-2.486899575160351e-14,-2.273736754432321e-13,54.7110999999998,-38.25620000000012,62.937199999999926,-87.79140000000031,79.39210000000017,-8.399299999998334
39,1.0658141036401504e-14,1.3500311979441906e-13,-0.0001000000000388468,0.0,0.0,0.0,-47.60600000000004,-40.20130000000045,0.0,2.842170943040401e-13,52.7902,-39.536599999999815,62.38379999999998,-87.80739999999956,75.63740000000051,-12.170000000000869
40,0.00010000000001753052,9.999999992160724e-05,9.999999996423979e-05,0.0,0.0,0.0,-46.06380000000002,-50.387999999999494,-3.1974423109204515e-14,9.999999986121112e-05,51.841100000000274,-39.50349999999988,61.983200000000046,-96.45139999999904,74.32079999999998,-22.13059999999814
41,0.0,5.684341886080803e-14,3.907985046680551e-14,0.0,0.0,0.0,-49.26850000000002,-37.698000000000704,-0.0001000000000139778,-4.547473508864641e-13,55.894400000000154,-39.07829999999985,63.208700000000036,-86.96660000000074,80.02480000000024,-6.941800000000512
42,-0.0001000000000139778,-5.3290705182007514e-14,9.592326932761353e-14,0.0,0.0,0.0,-40.53820000000004,-57.859600000000455,2.131628207280301e-14,-5.115907697472721e-13,57.53440000000026,-39.89569999999994,61.06039999999996,-98.39790000000177,78.69910000000027,-19.698799999999665
43,-1.77635683940025e-14,-1.3855583347321954e-13,7.460698725481053e-14,0.0,0.0,0.0,-47.56080000000001,-45.79979999999904,7.105427357601002e-15,0.00010000000060017557,59.176400000000626,-38.63410000000014,62.530900000000045,-93.36049999999865,83.07320000000031,-10.28729999999831
44,3.552713678800501e-15,-2.131628207280301e-14,1.172395514004165e-13,0.0,0.0,0.0,-50.25570000000007,-46.69380000000052,3.1974423109204515e-14,7.958078640513123e-13,57.862599999999894,-38.96479999999996,62.049999999999926,-96.94949999999837,80.94779999999929,-16.001699999997243
45,3.552713678800501e-15,1.4921397450962106e-13,-1.5987211554602254e-13,0.0,0.0,0.0,-46.80079999999993,-52.18220000000026,0.0,-7.958078640513123e-13,60.66580000000069,-39.9524000000001,61.402199999999965,-98.98300000000003,82.115600000001,-16.867399999999947
46,3.0198066269804264e-14,1.3855583347321954e-13,-1.3145040611561853e-13,0.0,0.0,0.0,-48.859400000000065,-49.840800000000065,2.486899575160351e-14,0.00010000000020227162,59.28149999999938,-39.99020000000003,61.38449999999999,-98.70010000000246,80.6757999999998,-18.024300000003592
47,-3.552713678800501e-15,-6.750155989720953e-14,-0.00010000000013477006,0.0,0.0,0.0,-42.829700000000095,-52.62549999999837,9.999999998555607e-05,3.410605131648481e-13,57.32169999999917,-38.22769999999984,62.70619999999993,-95.4551999999984,81.80019999999939,-13.654999999999914
