Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
33,-9.769962616701378e-15,-6.039613253960852e-14,7.105427357601002e-15,0.0,0.0,0.0,-35.019800000000046,-38.59410000000041,0.0,3.979039320256561e-13,57.92919999999995,-6.130833839999999,-73.61390000000102,51.79836615999986,-21.81553384000071
34,-7.105427357601002e-15,9.999999996779252e-05,-5.684341886080802e-14,0.0,0.0,0.0,-29.36920000000006,-33.78690000000091,3.552713678800501e-15,-3.979039320256561e-13,47.015799999999935,-5.301048240000007,-63.15600000000154,41.71475175999986,-21.441248240002153
35,1.7763568394002505e-15,0.00010000000007082122,7.105427357601002e-15,0.0,0.0,0.0,-19.778600000000022,-46.3277000000009,9.999999999976694e-05,2.8421709430404007e-13,57.80100000000013,-5.092829280000007,-66.10610000000085,52.7081707200002,-13.397929280000653
36,-9.999999996068709e-05,9.947598300641403e-14,-0.00010000000005661036,0.0,0.0,0.0,-26.03689999999999,-36.127099999999615,-0.00010000000000331966,6.252776074688882e-13,49.61960000000009,-4.999463279999995,-62.16429999999943,44.62013671999999,-17.544163279998983
37,0.0001000000000015433,-9.237055564881302e-14,-5.684341886080802e-14,0.0,0.0,0.0,-29.95409999999995,-24.353900000000166,2.842170943040401e-14,0.00010000000020227162,41.46689999999987,-5.271424560000003,-54.30780000000112,36.19547543999988,-18.112324560000786
38,-1.7763568394002505e-14,0.00010000000002463594,1.0658141036401503e-14,0.0,0.0,0.0,-21.886399999999966,-47.209499999999494,-7.105427357601002e-15,0.0,59.578799999999816,-5.685101999999999,-69.0957999999992,53.8936979999997,-15.202101999999485
39,1.0658141036401503e-14,-9.999999992871267e-05,0.0,0.0,0.0,0.0,-23.069900000000043,-43.448099999999,7.105427357601002e-15,1.1368683772161603e-13,56.38499999999998,-5.41212264,-66.51809999999847,50.97287736000001,-15.545222639998485
40,-1.0658141036401503e-14,-7.105427357601002e-15,3.907985046680551e-14,0.0,0.0,0.0,-30.80999999999995,-18.87309999999924,-2.4868995751603507e-14,-2.2737367544323206e-13,26.919700000000084,-5.027039280000004,-49.68309999999852,21.892660720000123,-27.79043927999885
41,2.842170943040401e-14,-0.00010000000012411192,-1.7763568394002505e-14,0.0,0.0,0.0,-29.70010000000003,-30.447899999999976,0.0001000000000015433,-1.1368683772161603e-13,41.28919999999998,-5.522582880000002,-60.14800000000028,35.76661711999985,-24.38138288000019
42,-8.881784197001252e-15,-0.00010000000008503207,3.552713678800501e-14,0.0,0.0,0.0,-27.782700000000023,-29.146299999999314,7.105427357601002e-15,1.1368683772161603e-13,38.66150000000001,-5.028280559999999,-56.929099999999664,33.63321943999999,-23.29588055999966
